year,students,us_students,undergraduate,graduate,non_degree,opt
1948,25464,2403400.0,,,,
1949,26433,2445000.0,,,,
1950,29813,2281000.0,,,,
1951,30462,2102000.0,,,,
1952,33675,2134000.0,,,,
1953,33833,2231000.0,,,,
1954,34232,2447000.0,19101.0,12118.0,,
1955,36494,2653000.0,,,,
1956,40666,2918000.0,,,,
1957,43391,3324000.0,,,,
1958,47245,,,,,
1959,48486,3640000.0,25164.0,18910.0,,
1960,53107,,,,,
1961,58086,4146000.0,,,,
1962,64705,,,,,
1963,74814,4780000.0,,,,
1964,82045,5280000.0,38130.0,35096.0,,
1965,82709,5921000.0,,,,
1966,100262,6390000.0,,,,
1967,110315,6912000.0,,,,
1968,121362,7513000.0,,,,
1969,134959,8005000.0,63296.0,59112.0,,
1970,144708,8581000.0,,,,
1971,140126,8949000.0,,,,
1972,146097,9215000.0,,,,
1973,151066,9602000.0,,,,
1974,154580,10224000.0,,,,
1975,179344,11185000.0,95949.0,83395.0,,
1976,203068,11012000.0,,,,
1977,235509,11286000.0,,,,
1978,263938,11260000.0,,,,
1979,286343,11570000.0,172520.0,94130.0,16850.0,2840.0
1980,311882,12097000.0,186660.0,99110.0,21660.0,3450.0
1981,326299,12372000.0,195150.0,106290.0,21980.0,2880.0
1982,336985,12426000.0,202760.0,110270.0,20340.0,3620.0
1983,338894,12465000.0,197480.0,118820.0,19190.0,3400.0
1984,342113,12242000.0,197640.0,122590.0,17570.0,4310.0
1985,343777,12247000.0,187660.0,132430.0,19540.0,4150.0
1986,349609,12504000.0,181230.0,146100.0,17550.0,4730.0
1987,356187,12767000.0,176669.0,156366.0,18352.0,4800.0
1988,366354,13055000.0,172551.0,165590.0,21189.0,7020.0
1989,386851,13539000.0,184527.0,169827.0,24785.0,7712.0
1990,407529,13819000.0,189900.0,182130.0,26730.0,8770.0
1991,419585,14359000.0,197070.0,191330.0,22960.0,8230.0
1992,438618,14487000.0,210080.0,193330.0,24200.0,11010.0
1993,449749,14305000.0,213610.0,201030.0,23680.0,11430.0
1994,452635,14279000.0,221500.0,191738.0,26188.0,13209.0
1995,453787,14262000.0,218620.0,190092.0,29625.0,15450.0
1996,457984,14368000.0,218743.0,190244.0,30872.0,18125.0
1997,481280,14502000.0,223276.0,207510.0,33912.0,16582.0
1998,490933,14507000.0,235802.0,211426.0,26863.0,16842.0
1999,514723,14791000.0,237211.0,218219.0,34436.0,24857.0
2000,547867,15312000.0,254429.0,238497.0,33883.0,21058.0
2001,582996,15928000.0,261079.0,264749.0,34423.0,22745.0
2002,586323,16612000.0,260103.0,267876.0,30551.0,27793.0
2003,572509,16911000.0,248200.0,274310.0,20659.0,29340.0
2004,565039,17272000.0,239212.0,264410.0,28418.0,32999.0
2005,564766,17487000.0,236342.0,259717.0,30611.0,38096.0
2006,582984,17672000.0,238050.0,264288.0,38986.0,41660.0
2007,623805,18248000.0,243360.0,276842.0,46837.0,56766.0
2008,671616,19103000.0,269874.0,283329.0,51812.0,66601.0
2009,690923,20428000.0,274431.0,293885.0,54803.0,67804.0
2010,723277,20550000.0,291439.0,296574.0,59233.0,76031.0
2011,764495,20625000.0,309342.0,300430.0,69566.0,85157.0
2012,819644,21253000.0,339993.0,311204.0,73528.0,94919.0
2013,886052,21216000.0,370724.0,329854.0,79477.0,105997.0
2014,974926,20300000.0,398824.0,362228.0,93587.0,120287.0
2015,1043839,20264000.0,427313.0,383935.0,85093.0,147498.0
2016,1078822,20185000.0,439019.0,391124.0,72984.0,175695.0
2017,1094792,19831000.0,442746.0,382953.0,65631.0,203462.0
2018,1095299,19828000.0,431930.0,377943.0,62341.0,223085.0
2019,1075496,19720000.0,419321.0,374435.0,58201.0,223539.0
2020,914095,19744000.0,359787.0,329272.0,21151.0,203885.0
2021,948519,20327000.0,344532.0,385097.0,34131.0,184759.0
2022,1057188,18961280.0,347602.0,467027.0,43766.0,198793.0
